,tweet_id,viewpoint,incivility
1255268660349935616,1255268660349935616,L1,0.0
1255335315885232130,1255335315885232130,L1,0.0
1253069119353769985,1253069119353769985,L1,0.0
1253120101311709184,1253120101311709184,L1,0.0
1254431161323008000,1254431161323008000,L1,0.0
1258568208342269954,1258568208342269954,L1,0.0
1254423840421220352,1254423840421220352,L1,0.0
1257437283059408897,1257437283059408897,L1,0.0
1259540842747920386,1259540842747920386,L1,0.0
1252968490912239619,1252968490912239619,L1,0.0
1255172421738541056,1255172421738541056,L4,1.0
1258168210450513924,1258168210450513924,L1,0.0
1255478251255926784,1255478251255926784,L1,0.0
1254424559366930432,1254424559366930432,L1,0.0
1257711590859816970,1257711590859816970,L1,0.0
1255236780497997825,1255236780497997825,L2,0.0
1255165110399700995,1255165110399700995,L2,0.0
1255199958967427078,1255199958967427078,L2,0.0
1255207059102064640,1255207059102064640,L2,0.0
1255243805198094343,1255243805198094343,L2,0.0
1255453308703199233,1255453308703199233,L2,0.0
1255218453528612865,1255218453528612865,L2,0.0
1256626317392596993,1256626317392596993,L2,0.0
1255305815222882308,1255305815222882308,L2,0.0
1255164956074487809,1255164956074487809,L2,0.0
1255173107016491009,1255173107016491009,L4,0.0
1255177514722484230,1255177514722484230,L2,0.0
1255266917125849088,1255266917125849088,L2,0.0
1255297967709458432,1255297967709458432,L2,0.0
1255175142835093504,1255175142835093504,L2,0.0
1255613061202948096,1255613061202948096,L2,0.0
1255176872100577283,1255176872100577283,L4,0.0
1255162958948323328,1255162958948323328,L2,0.0
1255316661898543106,1255316661898543106,L2,0.0
1255161934665658369,1255161934665658369,L4,0.0
1255822720132091906,1255822720132091906,L2,0.0
1255165082453016576,1255165082453016576,L2,0.0
1255211657489498118,1255211657489498118,L2,0.0
1255160504789741570,1255160504789741570,L2,0.0
1255213878453178369,1255213878453178369,L2,0.0
1255624962024574989,1255624962024574989,L2,0.0
1247082906503258112,1247082906503258112,L4,0.0
1255211517487783936,1255211517487783936,L2,0.0
1255599672112091142,1255599672112091142,L2,0.0
1255171636493529088,1255171636493529088,L2,0.0
